diffex_id,NCBI_id
Amblyomma-americanum_evm.model.contig-91520-1.1,V5799_000001
Amblyomma-americanum_evm.model.contig-91545-1.2,V5799_000003
Amblyomma-americanum_evm.model.contig-91545-1.3,V5799_000004
Amblyomma-americanum_evm.model.contig-91545-1.4,V5799_000005
Amblyomma-americanum_evm.model.contig-91545-1.5,V5799_000006
evm.TU.contig_91556_1.1,V5799_000007
Amblyomma-americanum_evm.model.contig-91557-1.1,V5799_000008
Amblyomma-americanum_evm.model.contig-91566-1.1,V5799_000009
Amblyomma-americanum_evm.model.contig-91608-1.1,V5799_000010
Amblyomma-americanum_evm.model.contig-91608-1.2,V5799_000011
Amblyomma-americanum_evm.model.contig-91628-1.1,V5799_000012
Amblyomma-americanum_evm.model.contig-91628-1.2,V5799_000013
Amblyomma-americanum_evm.model.contig-91628-1.3,V5799_000014
Amblyomma-americanum_evm.model.contig-91628-1.4,V5799_000015
Amblyomma-americanum_evm.model.contig-91628-1.5,V5799_000016
Amblyomma-americanum_evm.model.contig-91628-1.6,V5799_000017
Amblyomma-americanum_evm.model.contig-91630-1.1,V5799_000019
Amblyomma-americanum_evm.model.contig-91639-1.1,V5799_000020
Amblyomma-americanum_evm.model.contig-9165-1.1,V5799_000022
Amblyomma-americanum_evm.model.contig-91651-1.1,V5799_000023
Amblyomma-americanum_evm.model.contig-91665-1.1,V5799_000025
Amblyomma-americanum_evm.model.contig-9167-1.1,V5799_000026
evm.TU.contig_9168_1.1,V5799_000027
Amblyomma-americanum_evm.model.contig-91697-1.1,V5799_000029
evm.TU.contig_91701_1.2,V5799_000031
Amblyomma-americanum_evm.model.contig-91701-1.3,V5799_000032
evm.TU.contig_91703_1.1,V5799_000033
Amblyomma-americanum_evm.model.contig-91791-1.1,V5799_000034
Amblyomma-americanum_evm.model.contig-91791-1.2,V5799_000035
Amblyomma-americanum_evm.model.contig-91791-1.3,V5799_000036
Amblyomma-americanum_evm.model.contig-91791-1.4,V5799_000037
Amblyomma-americanum_evm.model.contig-91791-1.5,V5799_000038
Amblyomma-americanum_evm.model.contig-91791-1.6,V5799_000039
Amblyomma-americanum_evm.model.contig-91922-1.1,V5799_000040
Amblyomma-americanum_evm.model.contig-91968-1.1,V5799_000042
Amblyomma-americanum_evm.model.contig-91968-1.2,V5799_000043
Amblyomma-americanum_evm.model.contig-91968-1.3,V5799_000044
Amblyomma-americanum_evm.model.contig-92026-1.1,V5799_000049
Amblyomma-americanum_evm.model.contig-92054-1.1,V5799_000050
Amblyomma-americanum_evm.model.contig-92069-1.2,V5799_000052
Amblyomma-americanum_evm.model.contig-92069-1.4,V5799_000054
Amblyomma-americanum_evm.model.contig-92069-1.5,V5799_000055
Amblyomma-americanum_evm.model.contig-92069-1.6,V5799_000056
Amblyomma-americanum_evm.model.contig-92069-1.7,V5799_000057
Amblyomma-americanum_evm.model.contig-92088-1.1,V5799_000058
Amblyomma-americanum_evm.model.contig-92095-1.1,V5799_000059
Amblyomma-americanum_evm.model.contig-92097-1.1,V5799_000060
Amblyomma-americanum_evm.model.contig-92115-1.1,V5799_000061
evm.TU.contig_92125_1.1,V5799_000062
Amblyomma-americanum_evm.model.contig-92135-1.1,V5799_000063
Amblyomma-americanum_evm.model.contig-92186-1.1,V5799_000065
Amblyomma-americanum_evm.model.contig-92193-1.1,V5799_000066
